,Description,description,tokens,cleaned_tokens
96,"An adversary engages in activities to decipher and/or decode protocol information for a network or application communication protocol used for transmitting information between interconnected nodes or systems on a packet-switched data network. While this type of analysis involves the analysis of a networking protocol inherently, it does not require the presence of an actual or physical network.",an adversary engages in activities to decipher and or decode protocol information for a network or application communication protocol used for transmitting information between interconnected nodes or systems on a packet switched data network while this type of analysis involves the analysis of a networking protocol inherently  it does not require the presence of an actual or physical network ,"['an', 'adversary', 'engages', 'in', 'activities', 'to', 'decipher', 'and', 'or', 'decode', 'protocol', 'information', 'for', 'a', 'network', 'or', 'application', 'communication', 'protocol', 'used', 'for', 'transmitting', 'information', 'between', 'interconnected', 'nodes', 'or', 'systems', 'on', 'a', 'packet', 'switched', 'data', 'network', 'while', 'this', 'type', 'of', 'analysis', 'involves', 'the', 'analysis', 'of', 'a', 'networking', 'protocol', 'inherently', 'it', 'does', 'not', 'require', 'the', 'presence', 'of', 'an', 'actual', 'or', 'physical', 'network']","['adversary', 'engages', 'activities', 'decipher', 'decode', 'protocol', 'information', 'network', 'application', 'communication', 'protocol', 'used', 'transmitting', 'information', 'interconnected', 'nodes', 'systems', 'packet', 'switched', 'data', 'network', 'type', 'analysis', 'involves', 'analysis', 'networking', 'protocol', 'inherently', 'require', 'presence', 'actual', 'physical', 'network']"
97,"In this pattern the adversary is able to load and execute arbitrary code remotely available from the application. This is usually accomplished through an insecurely configured PHP runtime environment and an improperly sanitized include or require call, which the user can then control to point to any web-accessible file. This allows adversaries to hijack the targeted application and force it to execute their own instructions.",in this pattern the adversary is able to load and execute arbitrary code remotely available from the application this is usually accomplished through an insecurely configured php runtime environment and an improperly sanitized include or require call  which the user can then control to point to any web accessible file this allows adversaries to hijack the targeted application and force it to execute their own instructions ,"['in', 'this', 'pattern', 'the', 'adversary', 'is', 'able', 'to', 'load', 'and', 'execute', 'arbitrary', 'code', 'remotely', 'available', 'from', 'the', 'application', 'this', 'is', 'usually', 'accomplished', 'through', 'an', 'insecurely', 'configured', 'php', 'runtime', 'environment', 'and', 'an', 'improperly', 'sanitized', 'include', 'or', 'require', 'call', 'which', 'the', 'user', 'can', 'then', 'control', 'to', 'point', 'to', 'any', 'web', 'accessible', 'file', 'this', 'allows', 'adversaries', 'to', 'hijack', 'the', 'targeted', 'application', 'and', 'force', 'it', 'to', 'execute', 'their', 'own', 'instructions']","['pattern', 'adversary', 'able', 'load', 'execute', 'arbitrary', 'code', 'remotely', 'available', 'application', 'usually', 'accomplished', 'insecurely', 'configured', 'php', 'runtime', 'environment', 'improperly', 'sanitized', 'include', 'require', 'call', 'user', 'control', 'point', 'web', 'accessible', 'file', 'allows', 'adversaries', 'hijack', 'targeted', 'application', 'force', 'execute', 'instructions']"
98,"An adversary takes advantage of improper authentication to provide data or services under a falsified identity. The purpose of using the falsified identity may be to prevent traceability of the provided data or to assume the rights granted to another individual. One of the simplest forms of this attack would be the creation of an email message with a modified From field in order to appear that the message was sent from someone other than the actual sender. The root of the attack (in this case the email system) fails to properly authenticate the source and this results in the reader incorrectly performing the instructed action. Results of the attack vary depending on the details of the attack, but common results include privilege escalation, obfuscation of other attacks, and data corruption/manipulation.",an adversary takes advantage of improper authentication to provide data or services under a falsified identity the purpose of using the falsified identity may be to prevent traceability of the provided data or to assume the rights granted to another individual one of the simplest forms of this attack would be the creation of an email message with a modified from field in order to appear that the message was sent from someone other than the actual sender the root of the attack  in this case the email system  fails to properly authenticate the source and this results in the reader incorrectly performing the instructed action results of the attack vary depending on the details of the attack  but common results include privilege escalation  obfuscation of other attacks  and data corruption manipulation ,"['an', 'adversary', 'takes', 'advantage', 'of', 'improper', 'authentication', 'to', 'provide', 'data', 'or', 'services', 'under', 'a', 'falsified', 'identity', 'the', 'purpose', 'of', 'using', 'the', 'falsified', 'identity', 'may', 'be', 'to', 'prevent', 'traceability', 'of', 'the', 'provided', 'data', 'or', 'to', 'assume', 'the', 'rights', 'granted', 'to', 'another', 'individual', 'one', 'of', 'the', 'simplest', 'forms', 'of', 'this', 'attack', 'would', 'be', 'the', 'creation', 'of', 'an', 'email', 'message', 'with', 'a', 'modified', 'from', 'field', 'in', 'order', 'to', 'appear', 'that', 'the', 'message', 'was', 'sent', 'from', 'someone', 'other', 'than', 'the', 'actual', 'sender', 'the', 'root', 'of', 'the', 'attack', 'in', 'this', 'case', 'the', 'email', 'system', 'fails', 'to', 'properly', 'authenticate', 'the', 'source', 'and', 'this', 'results', 'in', 'the', 'reader', 'incorrectly', 'performing', 'the', 'instructed', 'action', 'results', 'of', 'the', 'attack', 'vary', 'depending', 'on', 'the', 'details', 'of', 'the', 'attack', 'but', 'common', 'results', 'include', 'privilege', 'escalation', 'obfuscation', 'of', 'other', 'attacks', 'and', 'data', 'corruption', 'manipulation']","['adversary', 'takes', 'advantage', 'improper', 'authentication', 'provide', 'data', 'services', 'falsified', 'identity', 'purpose', 'using', 'falsified', 'identity', 'may', 'prevent', 'traceability', 'provided', 'data', 'assume', 'rights', 'granted', 'another', 'individual', 'one', 'simplest', 'forms', 'attack', 'would', 'creation', 'email', 'message', 'modified', 'field', 'order', 'appear', 'message', 'sent', 'someone', 'actual', 'sender', 'root', 'attack', 'case', 'email', 'system', 'fails', 'properly', 'authenticate', 'source', 'results', 'reader', 'incorrectly', 'performing', 'instructed', 'action', 'results', 'attack', 'vary', 'depending', 'details', 'attack', 'common', 'results', 'include', 'privilege', 'escalation', 'obfuscation', 'attacks', 'data', 'corruption', 'manipulation']"
99,"A Principal Spoof is a form of Identity Spoofing where an adversary pretends to be some other person in an interaction. This is often accomplished by crafting a message (either written, verbal, or visual) that appears to come from a person other than the adversary. Phishing and Pharming attacks often attempt to do this so that their attempts to gather sensitive information appear to come from a legitimate source. A Principal Spoof does not use stolen or spoofed authentication credentials, instead relying on the appearance and content of the message to reflect identity.",a principal spoof is a form of identity spoofing where an adversary pretends to be some other person in an interaction this is often accomplished by crafting a message  either written  verbal  or visual  that appears to come from a person other than the adversary phishing and pharming attacks often attempt to do this so that their attempts to gather sensitive information appear to come from a legitimate source a principal spoof does not use stolen or spoofed authentication credentials  instead relying on the appearance and content of the message to reflect identity ,"['a', 'principal', 'spoof', 'is', 'a', 'form', 'of', 'identity', 'spoofing', 'where', 'an', 'adversary', 'pretends', 'to', 'be', 'some', 'other', 'person', 'in', 'an', 'interaction', 'this', 'is', 'often', 'accomplished', 'by', 'crafting', 'a', 'message', 'either', 'written', 'verbal', 'or', 'visual', 'that', 'appears', 'to', 'come', 'from', 'a', 'person', 'other', 'than', 'the', 'adversary', 'phishing', 'and', 'pharming', 'attacks', 'often', 'attempt', 'to', 'do', 'this', 'so', 'that', 'their', 'attempts', 'to', 'gather', 'sensitive', 'information', 'appear', 'to', 'come', 'from', 'a', 'legitimate', 'source', 'a', 'principal', 'spoof', 'does', 'not', 'use', 'stolen', 'or', 'spoofed', 'authentication', 'credentials', 'instead', 'relying', 'on', 'the', 'appearance', 'and', 'content', 'of', 'the', 'message', 'to', 'reflect', 'identity']","['principal', 'spoof', 'form', 'identity', 'spoofing', 'adversary', 'pretends', 'person', 'interaction', 'often', 'accomplished', 'crafting', 'message', 'either', 'written', 'verbal', 'visual', 'appears', 'come', 'person', 'adversary', 'phishing', 'pharming', 'attacks', 'often', 'attempt', 'attempts', 'gather', 'sensitive', 'information', 'appear', 'come', 'legitimate', 'source', 'principal', 'spoof', 'use', 'stolen', 'spoofed', 'authentication', 'credentials', 'instead', 'relying', 'appearance', 'content', 'message', 'reflect', 'identity']"
100,"An attacker creates a false but functional session credential in order to gain or usurp access to a service. Session credentials allow users to identify themselves to a service after an initial authentication without needing to resend the authentication information (usually a username and password) with every message. If an attacker is able to forge valid session credentials they may be able to bypass authentication or piggy-back off some other authenticated user's session. This attack differs from Reuse of Session IDs and Session Sidejacking attacks in that in the latter attacks an attacker uses a previous or existing credential without modification while, in a forging attack, the attacker must create their own credential, although it may be based on previously observed credentials.",an attacker creates a false but functional session credential in order to gain or usurp access to a service session credentials allow users to identify themselves to a service after an initial authentication without needing to resend the authentication information  usually a username and password  with every message if an attacker is able to forge valid session credentials they may be able to bypass authentication or piggy back off some other authenticated user s session this attack differs from reuse of session ids and session sidejacking attacks in that in the latter attacks an attacker uses a previous or existing credential without modification while  in a forging attack  the attacker must create their own credential  although it may be based on previously observed credentials ,"['an', 'attacker', 'creates', 'a', 'false', 'but', 'functional', 'session', 'credential', 'in', 'order', 'to', 'gain', 'or', 'usurp', 'access', 'to', 'a', 'service', 'session', 'credentials', 'allow', 'users', 'to', 'identify', 'themselves', 'to', 'a', 'service', 'after', 'an', 'initial', 'authentication', 'without', 'needing', 'to', 'resend', 'the', 'authentication', 'information', 'usually', 'a', 'username', 'and', 'password', 'with', 'every', 'message', 'if', 'an', 'attacker', 'is', 'able', 'to', 'forge', 'valid', 'session', 'credentials', 'they', 'may', 'be', 'able', 'to', 'bypass', 'authentication', 'or', 'piggy', 'back', 'off', 'some', 'other', 'authenticated', 'user', 's', 'session', 'this', 'attack', 'differs', 'from', 'reuse', 'of', 'session', 'ids', 'and', 'session', 'sidejacking', 'attacks', 'in', 'that', 'in', 'the', 'latter', 'attacks', 'an', 'attacker', 'uses', 'a', 'previous', 'or', 'existing', 'credential', 'without', 'modification', 'while', 'in', 'a', 'forging', 'attack', 'the', 'attacker', 'must', 'create', 'their', 'own', 'credential', 'although', 'it', 'may', 'be', 'based', 'on', 'previously', 'observed', 'credentials']","['attacker', 'creates', 'false', 'functional', 'session', 'credential', 'order', 'gain', 'usurp', 'access', 'service', 'session', 'credentials', 'allow', 'users', 'identify', 'service', 'initial', 'authentication', 'without', 'needing', 'resend', 'authentication', 'information', 'usually', 'username', 'password', 'every', 'message', 'attacker', 'able', 'forge', 'valid', 'session', 'credentials', 'may', 'able', 'bypass', 'authentication', 'piggy', 'back', 'authenticated', 'user', 'session', 'attack', 'differs', 'reuse', 'session', 'ids', 'session', 'sidejacking', 'attacks', 'latter', 'attacks', 'attacker', 'uses', 'previous', 'existing', 'credential', 'without', 'modification', 'forging', 'attack', 'attacker', 'must', 'create', 'credential', 'although', 'may', 'based', 'previously', 'observed', 'credentials']"
101,"An adversary submits data to a target application which contains nested exponential data expansion to produce excessively large output. Many data format languages allow the definition of macro-like structures that can be used to simplify the creation of complex structures. However, this capability can be abused to create excessive demands on a processor's CPU and memory. A small number of nested expansions can result in an exponential growth in demands on memory.",an adversary submits data to a target application which contains nested exponential data expansion to produce excessively large output many data format languages allow the definition of macro like structures that can be used to simplify the creation of complex structures however  this capability can be abused to create excessive demands on a processor s cpu and memory a small number of nested expansions can result in an exponential growth in demands on memory ,"['an', 'adversary', 'submits', 'data', 'to', 'a', 'target', 'application', 'which', 'contains', 'nested', 'exponential', 'data', 'expansion', 'to', 'produce', 'excessively', 'large', 'output', 'many', 'data', 'format', 'languages', 'allow', 'the', 'definition', 'of', 'macro', 'like', 'structures', 'that', 'can', 'be', 'used', 'to', 'simplify', 'the', 'creation', 'of', 'complex', 'structures', 'however', 'this', 'capability', 'can', 'be', 'abused', 'to', 'create', 'excessive', 'demands', 'on', 'a', 'processor', 's', 'cpu', 'and', 'memory', 'a', 'small', 'number', 'of', 'nested', 'expansions', 'can', 'result', 'in', 'an', 'exponential', 'growth', 'in', 'demands', 'on', 'memory']","['adversary', 'submits', 'data', 'target', 'application', 'contains', 'nested', 'exponential', 'data', 'expansion', 'produce', 'excessively', 'large', 'output', 'many', 'data', 'format', 'languages', 'allow', 'definition', 'macro', 'like', 'structures', 'used', 'simplify', 'creation', 'complex', 'structures', 'however', 'capability', 'abused', 'create', 'excessive', 'demands', 'processor', 'cpu', 'memory', 'small', 'number', 'nested', 'expansions', 'result', 'exponential', 'growth', 'demands', 'memory']"
102,An adversary distributes a link (or possibly some other query structure) with a request to a third party web server that is malformed and also contains a block of exploit code in order to have the exploit become live code in the resulting error page.,an adversary distributes a link  or possibly some other query structure  with a request to a third party web server that is malformed and also contains a block of exploit code in order to have the exploit become live code in the resulting error page ,"['an', 'adversary', 'distributes', 'a', 'link', 'or', 'possibly', 'some', 'other', 'query', 'structure', 'with', 'a', 'request', 'to', 'a', 'third', 'party', 'web', 'server', 'that', 'is', 'malformed', 'and', 'also', 'contains', 'a', 'block', 'of', 'exploit', 'code', 'in', 'order', 'to', 'have', 'the', 'exploit', 'become', 'live', 'code', 'in', 'the', 'resulting', 'error', 'page']","['adversary', 'distributes', 'link', 'possibly', 'query', 'structure', 'request', 'third', 'party', 'web', 'server', 'malformed', 'also', 'contains', 'block', 'exploit', 'code', 'order', 'exploit', 'become', 'live', 'code', 'resulting', 'error', 'page']"
103,"An adversary uses alternate forms of keywords or commands that result in the same action as the primary form but which may not be caught by filters. For example, many keywords are processed in a case insensitive manner. If the site's web filtering algorithm does not convert all tags into a consistent case before the comparison with forbidden keywords it is possible to bypass filters (e.g., incomplete black lists) by using an alternate case structure. For example, the script tag using the alternate forms of Script or ScRiPt may bypass filters where script is the only form tested. Other variants using different syntax representations are also possible as well as using pollution meta-characters or entities that are eventually ignored by the rendering engine. The attack can result in the execution of otherwise prohibited functionality.",an adversary uses alternate forms of keywords or commands that result in the same action as the primary form but which may not be caught by filters for example  many keywords are processed in a case insensitive manner if the site s web filtering algorithm does not convert all tags into a consistent case before the comparison with forbidden keywords it is possible to bypass filters  e g   incomplete black lists  by using an alternate case structure for example  the script tag using the alternate forms of script or script may bypass filters where script is the only form tested other variants using different syntax representations are also possible as well as using pollution meta characters or entities that are eventually ignored by the rendering engine the attack can result in the execution of otherwise prohibited functionality ,"['an', 'adversary', 'uses', 'alternate', 'forms', 'of', 'keywords', 'or', 'commands', 'that', 'result', 'in', 'the', 'same', 'action', 'as', 'the', 'primary', 'form', 'but', 'which', 'may', 'not', 'be', 'caught', 'by', 'filters', 'for', 'example', 'many', 'keywords', 'are', 'processed', 'in', 'a', 'case', 'insensitive', 'manner', 'if', 'the', 'site', 's', 'web', 'filtering', 'algorithm', 'does', 'not', 'convert', 'all', 'tags', 'into', 'a', 'consistent', 'case', 'before', 'the', 'comparison', 'with', 'forbidden', 'keywords', 'it', 'is', 'possible', 'to', 'bypass', 'filters', 'e', 'g', 'incomplete', 'black', 'lists', 'by', 'using', 'an', 'alternate', 'case', 'structure', 'for', 'example', 'the', 'script', 'tag', 'using', 'the', 'alternate', 'forms', 'of', 'script', 'or', 'script', 'may', 'bypass', 'filters', 'where', 'script', 'is', 'the', 'only', 'form', 'tested', 'other', 'variants', 'using', 'different', 'syntax', 'representations', 'are', 'also', 'possible', 'as', 'well', 'as', 'using', 'pollution', 'meta', 'characters', 'or', 'entities', 'that', 'are', 'eventually', 'ignored', 'by', 'the', 'rendering', 'engine', 'the', 'attack', 'can', 'result', 'in', 'the', 'execution', 'of', 'otherwise', 'prohibited', 'functionality']","['adversary', 'uses', 'alternate', 'forms', 'keywords', 'commands', 'result', 'action', 'primary', 'form', 'may', 'caught', 'filters', 'example', 'many', 'keywords', 'processed', 'case', 'insensitive', 'manner', 'site', 'web', 'filtering', 'algorithm', 'convert', 'tags', 'consistent', 'case', 'comparison', 'forbidden', 'keywords', 'possible', 'bypass', 'filters', 'e', 'g', 'incomplete', 'black', 'lists', 'using', 'alternate', 'case', 'structure', 'example', 'script', 'tag', 'using', 'alternate', 'forms', 'script', 'script', 'may', 'bypass', 'filters', 'script', 'form', 'tested', 'variants', 'using', 'different', 'syntax', 'representations', 'also', 'possible', 'well', 'using', 'pollution', 'meta', 'characters', 'entities', 'eventually', 'ignored', 'rendering', 'engine', 'attack', 'result', 'execution', 'otherwise', 'prohibited', 'functionality']"
104,"An attacker leverages the security functionality of the system aimed at thwarting potential attacks to launch a denial of service attack against a legitimate system user. Many systems, for instance, implement a password throttling mechanism that locks an account after a certain number of incorrect log in attempts. An attacker can leverage this throttling mechanism to lock a legitimate user out of their own account. The weakness that is being leveraged by an attacker is the very security feature that has been put in place to counteract attacks.",an attacker leverages the security functionality of the system aimed at thwarting potential attacks to launch a denial of service attack against a legitimate system user many systems  for instance  implement a password throttling mechanism that locks an account after a certain number of incorrect log in attempts an attacker can leverage this throttling mechanism to lock a legitimate user out of their own account the weakness that is being leveraged by an attacker is the very security feature that has been put in place to counteract attacks ,"['an', 'attacker', 'leverages', 'the', 'security', 'functionality', 'of', 'the', 'system', 'aimed', 'at', 'thwarting', 'potential', 'attacks', 'to', 'launch', 'a', 'denial', 'of', 'service', 'attack', 'against', 'a', 'legitimate', 'system', 'user', 'many', 'systems', 'for', 'instance', 'implement', 'a', 'password', 'throttling', 'mechanism', 'that', 'locks', 'an', 'account', 'after', 'a', 'certain', 'number', 'of', 'incorrect', 'log', 'in', 'attempts', 'an', 'attacker', 'can', 'leverage', 'this', 'throttling', 'mechanism', 'to', 'lock', 'a', 'legitimate', 'user', 'out', 'of', 'their', 'own', 'account', 'the', 'weakness', 'that', 'is', 'being', 'leveraged', 'by', 'an', 'attacker', 'is', 'the', 'very', 'security', 'feature', 'that', 'has', 'been', 'put', 'in', 'place', 'to', 'counteract', 'attacks']","['attacker', 'leverages', 'security', 'functionality', 'system', 'aimed', 'thwarting', 'potential', 'attacks', 'launch', 'denial', 'service', 'attack', 'legitimate', 'system', 'user', 'many', 'systems', 'instance', 'implement', 'password', 'throttling', 'mechanism', 'locks', 'account', 'certain', 'number', 'incorrect', 'log', 'attempts', 'attacker', 'leverage', 'throttling', 'mechanism', 'lock', 'legitimate', 'user', 'account', 'weakness', 'leveraged', 'attacker', 'security', 'feature', 'put', 'place', 'counteract', 'attacks']"
105,"An attacker, armed with the cipher text and the encryption algorithm used, performs an exhaustive (brute force) search on the key space to determine the key that decrypts the cipher text to obtain the plaintext.",an attacker  armed with the cipher text and the encryption algorithm used  performs an exhaustive  brute force  search on the key space to determine the key that decrypts the cipher text to obtain the plaintext ,"['an', 'attacker', 'armed', 'with', 'the', 'cipher', 'text', 'and', 'the', 'encryption', 'algorithm', 'used', 'performs', 'an', 'exhaustive', 'brute', 'force', 'search', 'on', 'the', 'key', 'space', 'to', 'determine', 'the', 'key', 'that', 'decrypts', 'the', 'cipher', 'text', 'to', 'obtain', 'the', 'plaintext']","['attacker', 'armed', 'cipher', 'text', 'encryption', 'algorithm', 'used', 'performs', 'exhaustive', 'brute', 'force', 'search', 'key', 'space', 'determine', 'key', 'decrypts', 'cipher', 'text', 'obtain', 'plaintext']"
106,"An attacker removes or disables filtering mechanisms on the target application. Input filters prevent invalid data from being sent to an application (for example, overly large inputs that might cause a buffer overflow or other malformed inputs that may not be correctly handled by an application). Input filters might also be designed to constrained executable content.",an attacker removes or disables filtering mechanisms on the target application input filters prevent invalid data from being sent to an application  for example  overly large inputs that might cause a buffer overflow or other malformed inputs that may not be correctly handled by an application  input filters might also be designed to constrained executable content ,"['an', 'attacker', 'removes', 'or', 'disables', 'filtering', 'mechanisms', 'on', 'the', 'target', 'application', 'input', 'filters', 'prevent', 'invalid', 'data', 'from', 'being', 'sent', 'to', 'an', 'application', 'for', 'example', 'overly', 'large', 'inputs', 'that', 'might', 'cause', 'a', 'buffer', 'overflow', 'or', 'other', 'malformed', 'inputs', 'that', 'may', 'not', 'be', 'correctly', 'handled', 'by', 'an', 'application', 'input', 'filters', 'might', 'also', 'be', 'designed', 'to', 'constrained', 'executable', 'content']","['attacker', 'removes', 'disables', 'filtering', 'mechanisms', 'target', 'application', 'input', 'filters', 'prevent', 'invalid', 'data', 'sent', 'application', 'example', 'overly', 'large', 'inputs', 'might', 'cause', 'buffer', 'overflow', 'malformed', 'inputs', 'may', 'correctly', 'handled', 'application', 'input', 'filters', 'might', 'also', 'designed', 'constrained', 'executable', 'content']"
107,"An adversary creates a serialized data file (e.g. XML, YAML, etc...) that contains an external data reference. Because serialized data parsers may not validate documents with external references, there may be no checks on the nature of the reference in the external data. This can allow an adversary to open arbitrary files or connections, which may further lead to the adversary gaining access to information on the system that they would normally be unable to obtain.",an adversary creates a serialized data file  e g xml  yaml  etc     that contains an external data reference because serialized data parsers may not validate documents with external references  there may be no checks on the nature of the reference in the external data this can allow an adversary to open arbitrary files or connections  which may further lead to the adversary gaining access to information on the system that they would normally be unable to obtain ,"['an', 'adversary', 'creates', 'a', 'serialized', 'data', 'file', 'e', 'g', 'xml', 'yaml', 'etc', 'that', 'contains', 'an', 'external', 'data', 'reference', 'because', 'serialized', 'data', 'parsers', 'may', 'not', 'validate', 'documents', 'with', 'external', 'references', 'there', 'may', 'be', 'no', 'checks', 'on', 'the', 'nature', 'of', 'the', 'reference', 'in', 'the', 'external', 'data', 'this', 'can', 'allow', 'an', 'adversary', 'to', 'open', 'arbitrary', 'files', 'or', 'connections', 'which', 'may', 'further', 'lead', 'to', 'the', 'adversary', 'gaining', 'access', 'to', 'information', 'on', 'the', 'system', 'that', 'they', 'would', 'normally', 'be', 'unable', 'to', 'obtain']","['adversary', 'creates', 'serialized', 'data', 'file', 'e', 'g', 'xml', 'yaml', 'etc', 'contains', 'external', 'data', 'reference', 'serialized', 'data', 'parsers', 'may', 'validate', 'documents', 'external', 'references', 'may', 'checks', 'nature', 'reference', 'external', 'data', 'allow', 'adversary', 'open', 'arbitrary', 'files', 'connections', 'may', 'lead', 'adversary', 'gaining', 'access', 'information', 'system', 'would', 'normally', 'unable', 'obtain']"
108,"An adversary creates a client application to interface with a target service where the client violates assumptions the service makes about clients. Services that have designated client applications (as opposed to services that use general client applications, such as IMAP or POP mail servers which can interact with any IMAP or POP client) may assume that the client will follow specific procedures.",an adversary creates a client application to interface with a target service where the client violates assumptions the service makes about clients services that have designated client applications  as opposed to services that use general client applications  such as imap or pop mail servers which can interact with any imap or pop client  may assume that the client will follow specific procedures ,"['an', 'adversary', 'creates', 'a', 'client', 'application', 'to', 'interface', 'with', 'a', 'target', 'service', 'where', 'the', 'client', 'violates', 'assumptions', 'the', 'service', 'makes', 'about', 'clients', 'services', 'that', 'have', 'designated', 'client', 'applications', 'as', 'opposed', 'to', 'services', 'that', 'use', 'general', 'client', 'applications', 'such', 'as', 'imap', 'or', 'pop', 'mail', 'servers', 'which', 'can', 'interact', 'with', 'any', 'imap', 'or', 'pop', 'client', 'may', 'assume', 'that', 'the', 'client', 'will', 'follow', 'specific', 'procedures']","['adversary', 'creates', 'client', 'application', 'interface', 'target', 'service', 'client', 'violates', 'assumptions', 'service', 'makes', 'clients', 'services', 'designated', 'client', 'applications', 'opposed', 'services', 'use', 'general', 'client', 'applications', 'imap', 'pop', 'mail', 'servers', 'interact', 'imap', 'pop', 'client', 'may', 'assume', 'client', 'follow', 'specific', 'procedures']"
109,"An adversary exploits a weakness in authorization in order to modify content within a registry (e.g., Windows Registry, Mac plist, application registry). Editing registry information can permit the adversary to hide configuration information or remove indicators of compromise to cover up activity. Many applications utilize registries to store configuration and service information. As such, modification of registry information can affect individual services (affecting billing, authorization, or even allowing for identity spoofing) or the overall configuration of a targeted application. For example, both Java RMI and SOAP use registries to track available services. Changing registry values is sometimes a preliminary step towards completing another attack pattern, but given the long term usage of many registry values, manipulation of registry information could be its own end.",an adversary exploits a weakness in authorization in order to modify content within a registry  e g   windows registry  mac plist  application registry  editing registry information can permit the adversary to hide configuration information or remove indicators of compromise to cover up activity many applications utilize registries to store configuration and service information as such  modification of registry information can affect individual services  affecting billing  authorization  or even allowing for identity spoofing  or the overall configuration of a targeted application for example  both java rmi and soap use registries to track available services changing registry values is sometimes a preliminary step towards completing another attack pattern  but given the long term usage of many registry values  manipulation of registry information could be its own end ,"['an', 'adversary', 'exploits', 'a', 'weakness', 'in', 'authorization', 'in', 'order', 'to', 'modify', 'content', 'within', 'a', 'registry', 'e', 'g', 'windows', 'registry', 'mac', 'plist', 'application', 'registry', 'editing', 'registry', 'information', 'can', 'permit', 'the', 'adversary', 'to', 'hide', 'configuration', 'information', 'or', 'remove', 'indicators', 'of', 'compromise', 'to', 'cover', 'up', 'activity', 'many', 'applications', 'utilize', 'registries', 'to', 'store', 'configuration', 'and', 'service', 'information', 'as', 'such', 'modification', 'of', 'registry', 'information', 'can', 'affect', 'individual', 'services', 'affecting', 'billing', 'authorization', 'or', 'even', 'allowing', 'for', 'identity', 'spoofing', 'or', 'the', 'overall', 'configuration', 'of', 'a', 'targeted', 'application', 'for', 'example', 'both', 'java', 'rmi', 'and', 'soap', 'use', 'registries', 'to', 'track', 'available', 'services', 'changing', 'registry', 'values', 'is', 'sometimes', 'a', 'preliminary', 'step', 'towards', 'completing', 'another', 'attack', 'pattern', 'but', 'given', 'the', 'long', 'term', 'usage', 'of', 'many', 'registry', 'values', 'manipulation', 'of', 'registry', 'information', 'could', 'be', 'its', 'own', 'end']","['adversary', 'exploits', 'weakness', 'authorization', 'order', 'modify', 'content', 'within', 'registry', 'e', 'g', 'windows', 'registry', 'mac', 'plist', 'application', 'registry', 'editing', 'registry', 'information', 'permit', 'adversary', 'hide', 'configuration', 'information', 'remove', 'indicators', 'compromise', 'cover', 'activity', 'many', 'applications', 'utilize', 'registries', 'store', 'configuration', 'service', 'information', 'modification', 'registry', 'information', 'affect', 'individual', 'services', 'affecting', 'billing', 'authorization', 'even', 'allowing', 'identity', 'spoofing', 'overall', 'configuration', 'targeted', 'application', 'example', 'java', 'rmi', 'soap', 'use', 'registries', 'track', 'available', 'services', 'changing', 'registry', 'values', 'sometimes', 'preliminary', 'step', 'towards', 'completing', 'another', 'attack', 'pattern', 'given', 'long', 'term', 'usage', 'many', 'registry', 'values', 'manipulation', 'registry', 'information', 'could', 'end']"
110,"An adversary examines a target application's cache, or a browser cache, for sensitive information. Many applications that communicate with remote entities or which perform intensive calculations utilize caches to improve efficiency. However, if the application computes or receives sensitive information and the cache is not appropriately protected, an attacker can browse the cache and retrieve this information. This can result in the disclosure of sensitive information.",an adversary examines a target application s cache  or a browser cache  for sensitive information many applications that communicate with remote entities or which perform intensive calculations utilize caches to improve efficiency however  if the application computes or receives sensitive information and the cache is not appropriately protected  an attacker can browse the cache and retrieve this information this can result in the disclosure of sensitive information ,"['an', 'adversary', 'examines', 'a', 'target', 'application', 's', 'cache', 'or', 'a', 'browser', 'cache', 'for', 'sensitive', 'information', 'many', 'applications', 'that', 'communicate', 'with', 'remote', 'entities', 'or', 'which', 'perform', 'intensive', 'calculations', 'utilize', 'caches', 'to', 'improve', 'efficiency', 'however', 'if', 'the', 'application', 'computes', 'or', 'receives', 'sensitive', 'information', 'and', 'the', 'cache', 'is', 'not', 'appropriately', 'protected', 'an', 'attacker', 'can', 'browse', 'the', 'cache', 'and', 'retrieve', 'this', 'information', 'this', 'can', 'result', 'in', 'the', 'disclosure', 'of', 'sensitive', 'information']","['adversary', 'examines', 'target', 'application', 'cache', 'browser', 'cache', 'sensitive', 'information', 'many', 'applications', 'communicate', 'remote', 'entities', 'perform', 'intensive', 'calculations', 'utilize', 'caches', 'improve', 'efficiency', 'however', 'application', 'computes', 'receives', 'sensitive', 'information', 'cache', 'appropriately', 'protected', 'attacker', 'browse', 'cache', 'retrieve', 'information', 'result', 'disclosure', 'sensitive', 'information']"
